Parent,Node,Branch.length,Label,Confidence,Source,Genotype,Collection_year,Location,Host,Tissue,Organism_name,Decade,Genotype_major,Tissue_clean
483,660,0.0088237854,Internal-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,2251,2.0842e-06,Internal-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2251,1123,0.0032681035,Internal-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,1637,0.0048835149,Internal-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1637,1400,0.0065992822,SRR5122806,NA,Raw reads,4d,2009,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1637,490,0.0050830683,Internal-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,647,2.872e-06,SRR5122819,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
490,2232,2.3452e-06,SRR5122809,NA,Raw reads,4d,2003,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1123,2000,0.0033547074,Internal-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,53,0.0289836166,SRR5122798,NA,Raw reads,4d,2005,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2000,2139,2.3297e-06,SRR5122810,NA,Raw reads,4d,2003,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2251,2025,2.0668e-06,Internal-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,900,0.0022699605,SRR5122812,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2025,2041,0.0134106349,SRR5122782,NA,Raw reads,4d,2005,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
660,1212,2.0647e-06,Internal-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,139,2.8319e-06,Internal-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,1206,0.0035524662,Internal-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206,2545,0.0202434616,Internal-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2545,2470,0.0037862399,Internal-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2470,2204,0.0109971795,Internal-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2204,1905,0.0100275094,SRR5122827,NA,Raw reads,4d,2010,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
2204,1311,9.9105e-06,Internal-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311,2323,0.0113291947,Internal-52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2323,2017,0.0103001393,SRR5122791,NA,Raw reads,4d,2013,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
2323,1522,0.0037886679,Internal-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1522,927,2.7498e-06,SRR5122816,NA,Raw reads,4d,2013,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
1522,628,0.0238991164,SRR5122815,NA,Raw reads,4d,2013,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
1311,1316,0.0097961849,SRR5122813,NA,Raw reads,4d,2013,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
2470,2397,0.0069838684,Internal-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2397,504,2.5392e-06,SRR5122829,NA,Raw reads,4d,2008,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2397,2443,0.0179393835,SRR5122794,NA,Raw reads,4d,2012,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
2545,655,0.0068380164,Internal-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
655,1442,0.0169930324,SRR5122792,NA,Raw reads,4d,2009,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
655,1765,2.1413e-06,SRR5122795,NA,Raw reads,4d,2006,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1206,1781,0.0032579368,Internal-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,270,2.9011e-06,Internal-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,1568,0.0098819199,SRR5122817,NA,Raw reads,4d,2009,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
270,1352,0.0232427223,SRR5122828,NA,Raw reads,4d,2008,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1781,1759,0.0033631949,SRR5122799,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
139,334,1e-06,SRR5122831,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1212,676,1e-06,SRR5122808,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
483,1048,0.0325046057,Internal-58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1048,71,2.395e-06,SRR5122796,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1048,245,0.0143061331,SRR5122788,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
712,1665,0.018376811,Internal-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1665,537,0.0640324731,Internal-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,1286,0.005508242,Internal-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286,703,0.014247249,Internal-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,730,0.0044645372,Internal-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730,891,0.0044616012,SRR5122790,NA,Raw reads,4d,2001,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
730,2456,1e-06,SRR5122783,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
703,1253,0.0155035812,SRR5122793,NA,Raw reads,4d,2007,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1286,1697,0.0109355114,SRR5122807,NA,Raw reads,4d,2007,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
537,1210,2.9556e-06,SRR5122785,NA,Raw reads,4d,2004,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1665,470,0.007289157,Internal-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,1833,0.0095285761,SRR5122787,NA,Raw reads,4d,2009,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
470,452,0.0035905178,Internal-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,302,0.0040598661,Internal-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,661,0.0097748075,SRR5122786,NA,Raw reads,4d,2003,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
302,362,0.0095229546,SRR5122814,NA,Raw reads,4d,2003,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
452,1288,0.0137014434,SRR5122818,NA,Raw reads,4d,2012,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
2212,1057,0.0110914673,Internal-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,2063,0.0106971568,Internal-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,1135,0.0118019878,Internal-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,517,0.0073794765,Internal-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,559,0.0045354458,Internal-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,1046,0.0038504683,Internal-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,581,0.0056994457,Internal-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,1430,0.0161710732,Internal-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,568,0.0086864754,SRR5122811,NA,Raw reads,4d,2012,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
1430,1268,0.0046457495,SRR5122826,NA,Raw reads,4d,2013,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
581,1789,0.0140245347,Internal-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1789,1317,1e-06,SRR5122821,NA,Raw reads,4d,2006,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1789,1197,1e-06,SRR5122824,NA,Raw reads,4d,2005,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1046,567,0.002064454,Internal-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,479,0.0073547177,SRR5122805,NA,Raw reads,4d,2010,Netherlands,Homo sapiens,serum,NA,2010s,GT4,serum
567,284,0.0035875328,SRR5122820,NA,Raw reads,4d,2008,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
559,277,2.6581e-06,SRR5122823,NA,Raw reads,4d,2006,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
517,2472,2.5425e-06,SRR5122830,NA,Raw reads,4d,2003,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1135,26,0.0311026683,SRR5122797,NA,Raw reads,4d,2005,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2063,649,0.0246770309,SRR5122789,NA,Raw reads,4d,2001,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1057,2272,0.0110763871,Internal-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2272,1255,0.0033083735,SRR5122804,NA,Raw reads,4d,2008,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2272,1618,0.0033516008,SRR5122803,NA,Raw reads,4d,2002,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
2457,1240,0.0467532291,SRR5122802,NA,Raw reads,4d,2007,Netherlands,Homo sapiens,serum,NA,2000s,GT4,serum
1944,508,0.0103365728,Internal-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,1571,0.0318303241,Internal-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,1749,0.007619174,Internal-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1749,1779,0.0033621229,Internal-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1779,1943,0.0060362215,Internal-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,2345,0.0170960018,Internal-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2345,855,0.0057855082,Internal-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
855,550,0.0123531789,Internal-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,1308,0.008337493,Internal-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,1314,0.0032421004,Internal-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1314,2129,0.0016687845,SRR017769,NA,Raw reads,4n,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1314,2580,2.8275e-06,SRR017768,NA,Raw reads,4n,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1308,1530,0.0276582428,SRR017765,NA,Raw reads,4n,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
550,2142,0.007744267,Internal-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2142,2581,1e-06,SRR032798,NA,Raw reads,4l,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2142,1902,1e-06,SRR393957,NA,Raw reads,4l,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
855,78,0.0132646064,Internal-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1850,2.5556e-06,Internal-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1065,2.1951e-06,Internal-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,1164,1e-06,SRR017767,NA,Raw reads,4m,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1065,1354,0.0029925189,Internal-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1354,839,0.0111049258,Internal-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
839,1878,0.0012054947,SRR107714,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
839,1452,2.3464e-06,SRR017777,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1354,1513,0.0110056453,Internal-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1513,867,0.0013108452,SRR017772,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1513,2522,0.0014306166,SRR107711,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1850,1204,2.0748e-06,SRR017764,NA,Raw reads,4m,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
78,2478,0.0117490367,Internal-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2478,2325,0.0016201453,SRR107715,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2478,1100,1e-06,SRR017773,NA,Raw reads,4o,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2345,1846,0.0303004777,SRR8735818,NA,Raw reads,3,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT3,blood plasma
1943,1799,0.0176573505,SRR8735790,NA,Raw reads,3,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT3,blood plasma
1779,546,0.0181161931,s0539,NA,Reference,Unknown,2017,Egypt,Unknown,NA,Hepacivirus hominis,2010s,Unknown,NA
1749,1281,0.0282564046,Internal-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1281,2339,0.0022491723,ERR909851,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1281,1963,0.026372495,ERR909850,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1571,207,0.0227547639,Internal-97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,1872,0.0071019482,SRR8735780,NA,Raw reads,4a,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT4,blood plasma
207,1735,0.0330251672,SRR8735781,NA,Raw reads,6f,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT6,blood plasma
508,2439,0.0211810058,ERR909838,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1207,665,0.0470249794,Internal-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,2066,0.0070986109,Internal-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2066,1865,0.0051592021,Internal-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,291,2.1836e-06,SRR8735785,NA,Raw reads,3,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT3,blood plasma
1865,1507,0.0086477754,SRR017766,NA,Raw reads,4g,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2066,1403,0.0087623135,SRR8735816,NA,Raw reads,3,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT3,blood plasma
665,2473,0.0186429706,Internal-101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2473,227,0.0058399102,SRR107708,NA,Raw reads,4r,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2473,2040,2.0234e-06,SRR017776,NA,Raw reads,4r,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
1266,133,0.0259204653,ERR909813,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
2016,1701,0.0276127857,Internal-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1701,1116,0.0259935377,Internal-103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,2042,0.0148646933,ERR909853,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1116,157,0.0414524457,ERR909849,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1701,1148,0.0814688087,ERR909848,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
691,437,0.0343742783,Internal-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,472,2.2772e-06,SRR017775,NA,Raw reads,4r,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
437,2513,1e-06,SRR107716,NA,Raw reads,4r,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
2132,2587,0.0431202671,ERR909815,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
2162,2316,0.0140804269,Internal-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,2406,0.0160509997,ERR909810,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
2316,933,0.0463973743,ERR909807,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
585,1457,0.0157458034,Internal-106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,2571,0.0144240038,Internal-107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2571,1138,0.0055678694,SRR8735787,NA,Raw reads,3,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT3,blood plasma
2571,2260,0.0064638365,SRR8735881,NA,Raw reads,2,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT2,blood plasma
1457,2006,0.0045037424,ERR909812,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1408,1481,0.0249546995,ERR909872,NA,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
1132,1591,0.0224763517,Internal-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,1320,0.0018818472,Internal-109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1320,1843,0.0021081955,Internal-110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,0,0.0023387358,Internal-111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1962,0.0445395844,Internal-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,1361,0.003786431,Internal-113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361,2264,0.0165432374,Internal-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2264,1418,0.0035216355,Internal-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,2026,0.0377454575,Internal-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,599,2.3942e-06,Internal-117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,1245,0.0073387425,Internal-118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245,315,1e-06,Internal-119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,1681,2.7836e-06,Internal-120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1681,1888,1e-06,SRR6804952,NA,Raw reads,1b,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
1681,275,1e-06,SRR6906346,NA,Raw reads,1a,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
315,1419,1e-06,SRR6906343,NA,Raw reads,3a,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
1245,1260,0.0073202248,Internal-121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,989,2.7866e-06,Internal-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,827,1e-06,SRR6804925,NA,Raw reads,3a,2016,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
989,2056,1e-06,SRR6804923,NA,Raw reads,3a,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
1260,1579,0.015844147,SRR6805019,NA,Raw reads,1b,2014,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
599,2647,0.0073161481,SRR6906344,NA,Raw reads,3a,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
2026,2468,0.0235661979,SRR6804941,NA,Raw reads,3a,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
1418,1328,0.0171718228,Internal-123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1328,962,0.0073483721,Internal-124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
962,1847,2.1099e-06,SRR6804983,NA,Raw reads,3a,2014,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT3,hcv-infected patient
962,1612,0.015672187,SRR6804991,NA,Raw reads,1b,2015,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
1328,27,0.0090784023,Internal-125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1883,2.5354e-06,SRR6805013,NA,Raw reads,1a,2014,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
27,1758,2.53e-06,SRR6805010,NA,Raw reads,1a,2014,Spain,Homo sapiens,HCV-infected patient,NA,2010s,GT1,hcv-infected patient
2264,1458,0.0170750553,Internal-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,1520,0.0360235792,Internal-127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,1182,0.0263724017,Internal-128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,2418,0.0413105177,Internal-129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2418,197,0.0077310651,Internal-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,818,0.0109591162,Internal-131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,543,0.0262824699,Internal-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,135,0.0012466996,Internal-133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1517,0.0023517818,Internal-134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517,767,0.0004240581,Internal-135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767,693,0.0008435152,Internal-136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,106,0.0008502535,Internal-137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1276,0.00188968,Internal-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1276,1707,0.0029286344,Internal-139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1707,2359,0.0017856992,Internal-140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2359,2194,0.0046142285,Internal-141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,986,0.0576046094,Internal-142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,875,0.0167487979,SRR8735860,NA,Raw reads,2,NA,United Kingdom,Homo sapiens,Blood plasma,NA,Unknown,GT2,blood plasma
