sample_id,source,genotype,collection_year,location,host,tissue,Organism_Name,decade,genotype_major,tissue_clean
s0476,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0347,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0149,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0066,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0598,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0385,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0121,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0260,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0330,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0513,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0386,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0597,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0367,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0474,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0080,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0301,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0555,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0429,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0193,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0026,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0300,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0081,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0593,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0405,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0192,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0042,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0318,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0514,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0139,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0230,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0044,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0191,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0107,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0263,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0356,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0484,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0220,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0004,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0551,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0443,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0486,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0355,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0151,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0071,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0601,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0394,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0119,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0257,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0328,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0508,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0388,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0603,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0379,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0609,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0061,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0161,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0506,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0334,Reference,1a,2009,Unknown,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0254,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0127,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0158,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0063,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0491,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0341,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0275,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0095,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0451,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0545,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0015,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0218,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0097,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0272,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0051,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0177,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0414,Reference,1a,2009,Unknown,Homo sapiens,NA,hepatitis C virus genotype 1a,2000s,GT1,NA
s0584,Reference,1a,2009,Unknown,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0240,Reference,1a,2009,Unknown,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0062,Reference,1b,2009,Unknown,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0549,Reference,1b,2008,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0469,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0363,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0227,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0009,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0266,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0028,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0453,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0222,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0039,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0190,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0519,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0399,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0586,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0567,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0338,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0477,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0348,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0262,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0027,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0228,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0083,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0236,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0145,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0520,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0130,Reference,1b,2008,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0157,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0503,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0336,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0253,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0128,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0159,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0059,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0489,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0096,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0452,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0544,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0016,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0217,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0093,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0273,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0048,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0173,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0407,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0576,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0245,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0136,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0529,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0309,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0575,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0409,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0285,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0084,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0457,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0370,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0022,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0205,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0426,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0574,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0371,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0455,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0411,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0580,Reference,1b,2008,USA: Tennessee,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0125,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0250,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0611,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0381,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0166,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0065,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0251,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0124,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0540,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0449,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0209,Reference,1a,2008,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0003,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0346,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0498,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0278,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0001,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0210,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0134,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0242,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0317,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0533,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0169,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0046,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0579,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0413,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0534,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0314,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0206,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0024,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0568,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0422,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0087,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0286,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0368,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0454,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0420,Reference,1a,2008,USA: Tennessee,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0569,Reference,1a,2008,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
